Name,Position,Birthdate,Foot,Height,Nationality,Club,Year,Path,ID,Birth_Day,Birth_Month,Birth_Year
Riadh Ben Rejeb,Attaquant,- (-),,,Tunisie,cs sfaxien,2003,/riadh-ben-rejeb/profil/spieler/946487,946487,,,
Khalifa Chaouat,Attaquant,- (-),,,Tunisie,cs sfaxien,2003,/khalifa-chaouat/profil/spieler/946488,946488,,,
Walid Lansari,Défense,3 mai 1975 (29),,,Tunisie,us monastir,2003,/walid-lansari/profil/spieler/946484,946484,3,mai,1975
Anis Boussaidi,Arrière droit,10 avr. 1981 (23),right,"1,80m",Tunisie,stade tunisien,2003,/anis-boussaidi/profil/spieler/42933,42933,10,avr.,1981
Aymen Rouini,Défense,- (-),,,Tunisie,js kairouanaise,2003,/aymen-rouini/profil/spieler/640425,640425,,,
Zouhaier Khelifa,Défense,- (-),,,Tunisie,js kairouanaise,2003,/zouhaier-khelifa/profil/spieler/640421,640421,,,
Hakim Nouira,Arrière gauche,25 juin 1972 (32),,,Tunisie,olympique beja,2003,/hakim-nouira/profil/spieler/355513,355513,25,juin,1972
Bechir Sahbani,Défense,22 oct. 1972 (31),,,Tunisie,club athletique bizertin,2003,/bechir-sahbani/profil/spieler/439908,439908,22,oct.,1972
Hichem Nahdi,Milieu,- (-),,,Tunisie,olympique beja,2003,/hichem-nahdi/profil/spieler/1131309,1131309,,,
Hedi Mokrani,Attaquant,31 juil. 1969 (34),,,Tunisie,olympique beja,2003,/hedi-mokrani/profil/spieler/761696,761696,31,juil.,1969
Nabil Bechaouech,Avant-centre,- (-),,,Tunisie,olympique beja,2003,/nabil-bechaouech/profil/spieler/683588,683588,,,
Ibrahim Tajeddine,Avant-centre,15 oct. 1981 (22),,,Tunisie,cs hammam lif,2003,/ibrahim-tajeddine/profil/spieler/779496,779496,15,oct.,1981
Sofiene Melliti,Milieu central,18 août 1978 (24),,"1,88m",Tunisie,club athletique bizertin,2002,/sofiene-melliti/profil/spieler/38067,38067,18,août,1978
Imed Ketata,Défense,- (-),,,Tunisie,cs sfaxien,2002,/imed-ketata/profil/spieler/884913,884913,,,
Mehrez Ben Ali,Défense,- (-),,,Tunisie,club africain,2002,/mehrez-ben-ali/profil/spieler/772008,772008,,,
Ferid Chouchane,Défenseur central,19 avr. 1973 (30),,"1,82m",Tunisie,club africain,2002,/ferid-chouchane/profil/spieler/103235,103235,19,avr.,1973
Jamel Ben Salem,Milieu,- (-),,,Tunisie,club africain,2002,/jamel-ben-salem/profil/spieler/489040,489040,,,
Zied Kefi,Milieu défensif,- (-),,,Tunisie,club africain,2002,/zied-kefi/profil/spieler/884407,884407,,,
Wassim Tounsi,Milieu,- (-),,,Tunisie,club africain,2002,/wassim-tounsi/profil/spieler/884919,884919,,,
Mehdi Ben Slimane,Ailier droit,1 janv. 1974 (29),,,Tunisie,club africain,2002,/mehdi-ben-slimane/profil/spieler/395,395,1,janv.,1974
Faouzi Rouissi,Avant-centre,20 mars 1971 (32),,,Tunisie,club africain,2002,/faouzi-rouissi/profil/spieler/863,863,20,mars,1971
Hafedh Miloud Trabelsi,Attaquant,1 août 1977 (25),,,Tunisie,es zarzis,2002,/hafedh-miloud-trabelsi/profil/spieler/772014,772014,1,août,1977
Rachid Bouaziz,Milieu,- (-),,,Tunisie,cs sfaxien,2002,/rachid-bouaziz/profil/spieler/772015,772015,,,
Zied Jaziri,Avant-centre,12 juil. 1978 (24),right,"1,70m",Tunisie,etoile sportive du sahel,2002,/zied-jaziri/profil/spieler/13936,13936,12,juil.,1978
Lassad Hanini,Arrière droit,1 mai 1971 (31),,,Tunisie,club africain,2001,/lassad-hanini/profil/spieler/485325,485325,1,mai,1971
Maher Sdiri,Milieu central,5 sept. 1970 (31),,,Tunisie,olympique beja,2001,/maher-sdiri/profil/spieler/682013,682013,5,sept.,1970
Mokhtar Trabelsi,Défenseur central,1 juil. 1971 (30),,,Tunisie,cs sfaxien,2001,/mokhtar-trabelsi/profil/spieler/682007,682007,1,juil.,1971
Mohamed Salah Meftah,Attaquant,23 mars 1971 (31),,,Tunisie,cs sfaxien,2001,/mohamed-salah-meftah/profil/spieler/772385,772385,23,mars,1971
M'Saddek Senoussi,Milieu,24 sept. 1977 (24),,"1,77m",Tunisie,cs sfaxien,2001,/msaddek-senoussi/profil/spieler/160085,160085,24,sept.,1977
Jamel Zabi,Attaquant,19 juin 1975 (27),,,Tunisie,club athletique bizertin,2001,/jamel-zabi/profil/spieler/304674,304674,19,juin,1975
Marouene Guezmir,Milieu,6 mars 1974 (28),,,Tunisie,club athletique bizertin,2001,/marouene-guezmir/profil/spieler/77399,77399,6,mars,1974
Fahed Dermech,Défense,26 nov. 1966 (35),,,Tunisie,etoile sportive du sahel,2001,/fahed-dermech/profil/spieler/899,899,26,nov.,1966
Nabil Kouki,Milieu défensif,9 mars 1970 (32),,,Tunisie,club africain,2001,/nabil-kouki/profil/spieler/560416,560416,9,mars,1970
Jameleddine Limam,Milieu offensif,11 juin 1967 (35),,,Tunisie,stade tunisien,2001,/jameleddine-limam/profil/spieler/84726,84726,11,juin,1967
Makram Kridene,Milieu,- (-),,,Tunisie,club africain,2001,/makram-kridene/profil/spieler/773208,773208,,,
Noomane Hmida,Défense,- (-),,,Tunisie,club africain,2000,/noomane-hmida/profil/spieler/488022,488022,,,
Sabri Jaballah,Défenseur central,28 juin 1973 (28),,"1,84m",Tunisie,club africain,2000,/sabri-jaballah/profil/spieler/103238,103238,28,juin,1973
Hassan Riah,Midfielder,- (-),,,Tunisie,esperance tunis,2000,/hassan-riah/profil/spieler/630952,630952,,,
Soufiane Fekih,Milieu,9 sept. 1969 (31),,,Tunisie,club athletique bizertin,2000,/soufiane-fekih/profil/spieler/355511,355511,9,sept.,1969
Radhouane Salhi,Gardien de but,18 déc. 1967 (33),,,Tunisie,etoile sportive du sahel,2000,/radhouane-salhi/profil/spieler/103240,103240,18,déc.,1967
Raed Fadaa,Right-Back,"May 20, 1997 (27)",,"1,68m",Tunisie,esperance tunis,2024,/raed-fadaa/marktwertverlauf/spieler/537392,537392,20,mai,1997
Lassad Hammami,Goalkeeper,"Sep 20, 1991 (33)",,"1,90m",Tunisie,as marsa,2024,/lassad-hammami/profil/spieler/227364,227364,20,sept.,1991
Nadhir Abdennebi,Centre-Back,"Jul 5, 1991 (33)",,"1,82m",Tunisie,as marsa,2024,/nadhir-abdennebi/marktwertverlauf/spieler/246849,246849,5,juil.,1991
Noureddine Chortani,Centre-Back,"Sep 14, 1995 (29)",,"1,83m",Tunisie,as marsa,2024,/noureddine-chortani/profil/spieler/417087,417087,14,sept.,1995
Mohamed Othman Karoui,Centre-Back,"Feb 18, 2002 (22)",,"1,90m",Tunisie,as marsa,2024,/mohamed-othman-karoui/profil/spieler/862942,862942,18,févr.,2002
Mohamed Ali Yaakoubi,Centre-Back,"Oct 5, 1990 (34)",,"1,92m",Tunisie,as marsa,2024,/mohamed-ali-yaakoubi/profil/spieler/134629,134629,5,oct.,1990
Yassine Werzli,Centre-Back,"May 2, 2002 (22)",,"1,91m",Tunisie,as marsa,2024,/yassine-werzli/profil/spieler/1024833,1024833,2,mai,2002
Abderrahmane Saada,Defender,"May 15, 1989 (35)",,,Tunisie,es beni khalled,2024,/abderrahmane-saada/profil/spieler/246859,246859,15,mai,1989
Koussay Maacha,Right Winger,"May 21, 2007 (17)",,"1,78m",Tunisie,esperance tunis,2024,/koussay-maacha/marktwertverlauf/spieler/1258261,1258261,21,mai,2007
Chiheb Jebali,Right Winger,"May 26, 1996 (28)",,"1,76m",Tunisie,esperance tunis,2024,/chiheb-jebali/marktwertverlauf/spieler/295409,295409,26,mai,1996
Mohamed Rayane Hamrouni,Left Winger,"Jan 29, 2003 (22)",,"1,81m",Tunisie,esperance tunis,2024,/mohamed-rayane-hamrouni/marktwertverlauf/spieler/1008449,1008449,29,janv.,2003
Nabil Maaloul,Left-Back,"Aug 21, 1998 (26)",,,Tunisie,es beni khalled,2024,/nabil-maaloul/profil/spieler/530368,530368,21,août,1998
Zakaria El Ayeb,Central Midfield,"Jan 15, 2003 (22)",,"1,88m",Tunisie,esperance tunis,2024,/zakaria-el-ayeb/marktwertverlauf/spieler/1063396,1063396,15,janv.,2003
Houssem Tka,Central Midfield,"Aug 16, 2000 (24)",,"1,75m",Tunisie,esperance tunis,2024,/houssem-tka/marktwertverlauf/spieler/581156,581156,16,août,2000
Khalil Guenichi,Defensive Midfield,"Dec 11, 2002 (22)",,"1,88m",Tunisie,esperance tunis,2024,/khalil-guenichi/marktwertverlauf/spieler/1023354,1023354,11,déc.,2002
Achref Jabri,Centre-Forward,"Dec 16, 2001 (23)",,,Tunisie,esperance tunis,2024,/achref-jabri/marktwertverlauf/spieler/1180073,1180073,16,déc.,2001
Zinedine Kada,Centre-Forward,"Aug 1, 2005 (19)",,"1,79m",Tunisie,esperance tunis,2024,/zinedine-kada/marktwertverlauf/spieler/1248972,1248972,1,août,2005
Riadh Mhadhebi,Striker,"Aug 30, 1986 (38)",,,Tunisie,es beni khalled,2024,/riadh-mhadhebi/profil/spieler/130711,130711,30,août,1986
Naceur Jelidi,Right Winger,"Sep 17, 1995 (29)",,,Tunisie,es beni khalled,2024,/naceur-jelidi/profil/spieler/462947,462947,17,sept.,1995
Anouar Lamiri,Attacking Midfield,"Aug 1, 1996 (28)",,"1,74m",Tunisie,es beni khalled,2024,/anouar-lamiri/profil/spieler/1111709,1111709,1,août,1996
Khalil Merai,Attacking Midfield,"Dec 11, 1991 (33)",,,Tunisie,es beni khalled,2024,/khalil-merai/profil/spieler/648852,648852,11,déc.,1991
Najmeddine Ben Amara,Attacking Midfield,"Aug 25, 1994 (30)",,,Tunisie,es beni khalled,2024,/najmeddine-ben-amara/profil/spieler/223404,223404,25,août,1994
Mohamed Amara,Central Midfield,"Feb 21, 1989 (35)",,,Tunisie,es beni khalled,2024,/mohamed-amara/profil/spieler/207083,207083,21,févr.,1989
Ahmed Mohamed,Right-Back,"Aug 17, 1997 (27)",,,Tunisie,es beni khalled,2024,/ahmed-mohamed/profil/spieler/509536,509536,17,août,1997
Zine El Abidine Ferchichi,Left-Back,"Sep 13, 1995 (29)",,,Tunisie,es beni khalled,2024,/zine-el-abidine-ferchichi/profil/spieler/757186,757186,13,sept.,1995
Wassim Rezgui,Striker,"Apr 28, 1986 (38)",,"1,78m",Tunisie,grombalia sports,2024,/wassim-rezgui/profil/spieler/142557,142557,28,avr.,1986
Montasser Klabi,Goalkeeper,"Jul 6, 1995 (29)",,,Tunisie,grombalia sports,2024,/montasser-klabi/profil/spieler/663728,663728,6,juil.,1995
Oussema Ben Taher,Goalkeeper,"May 28, 1997 (27)",,"1,9m",Tunisie,grombalia sports,2024,/oussema-ben-taher/profil/spieler/760664,760664,28,mai,1997
Anouar Kanzari,Centre-Back,"Nov 25, 1986 (38)",,"1,87m",Tunisie,grombalia sports,2024,/anouar-kanzari/profil/spieler/290421,290421,25,nov.,1986
Sadok Karoui,Centre-Back,"Jan 14, 1990 (35)",,,Tunisie,grombalia sports,2024,/sadok-karoui/profil/spieler/290827,290827,14,janv.,1990
Slim Bouazzi,Centre-Back,"Feb 5, 1997 (28)",,"1,9m",Tunisie,grombalia sports,2024,/slim-bouazzi/profil/spieler/751361,751361,5,févr.,1997
Ahmed Gasmi,Midfielder,"Aug 18, 1997 (27)",,,Tunisie,grombalia sports,2024,/ahmed-gasmi/profil/spieler/488611,488611,18,août,1997
Saber Zouabi,Midfielder,"Apr 7, 1997 (27)",,,Tunisie,grombalia sports,2024,/saber-zouabi/profil/spieler/751360,751360,7,avr.,1997
Ilef Ammari,Defensive Midfield,"Aug 2, 1997 (27)",,,Tunisie,grombalia sports,2024,/ilef-ammari/profil/spieler/662579,662579,2,août,1997
Mohamed Dkhili,Attacking Midfield,"Dec 31, 1990 (34)",,,Tunisie,grombalia sports,2024,/mohamed-dkhili/profil/spieler/1110958,1110958,31,déc.,1990
Seifallah Trabelsi,Left Winger,"Aug 31, 1988 (36)",,,Tunisie,grombalia sports,2024,/seifallah-trabelsi/profil/spieler/478148,478148,31,août,1988
Fedi Rourou,Striker,"May 21, 1994 (30)",,,Tunisie,grombalia sports,2024,/fedi-rourou/profil/spieler/329094,329094,21,mai,1994
Mourad Nemri,Striker,"Jun 7, 1991 (33)",,,Tunisie,grombalia sports,2024,/mourad-nemri/profil/spieler/478114,478114,7,juin,1991
Rami Baghdadi,Striker,"Jan 20, 1997 (28)",,"1,78m",Tunisie,grombalia sports,2024,/rami-baghdadi/profil/spieler/754261,754261,20,janv.,1997
Omar Bouraoui,Left-Back,"Jun 3, 1993 (31)",,"1,76m",Tunisie,as marsa,2024,/omar-bouraoui/profil/spieler/309629,309629,3,juin,1993
Baligh Jemmali,Left-Back,"Dec 1, 2000 (24)",,,Tunisie,as marsa,2024,/baligh-jemmali/profil/spieler/797783,797783,1,déc.,2000
Mohamed Aziz Hamdi,Left-Back,"May 26, 2000 (24)",,,Tunisie,as marsa,2024,/mohamed-aziz-hamdi/profil/spieler/800432,800432,26,mai,2000
Khaled Hammami,Right-Back,"Jan 14, 1997 (28)",,"1,78m",Tunisie,as marsa,2024,/khaled-hammami/profil/spieler/897928,897928,14,janv.,1997
Mohamed Aziz Traidi,Central Midfield,"Jul 12, 2001 (23)",,"1,83m",Tunisie,as marsa,2024,/mohamed-aziz-traidi/profil/spieler/1024835,1024835,12,juil.,2001
Mohamed Amine Khaloui,Central Midfield,"Oct 24, 1991 (33)",,"1,93m",Tunisie,as marsa,2024,/mohamed-amine-khaloui/profil/spieler/529969,529969,24,oct.,1991
Mohamed Naceur Trabelsi,Defensive Midfield,"Jan 4, 2004 (21)",,,Tunisie,as marsa,2024,/mohamed-naceur-trabelsi/profil/spieler/1176858,1176858,4,janv.,2004
Aziz Ouadani,Midfielder,"Dec 8, 2002 (22)",,,Tunisie,as marsa,2024,/aziz-ouadani/profil/spieler/1218446,1218446,8,déc.,2002
Alaeddine Gasmi,Defensive Midfield,"Jan 6, 1994 (31)",,,Tunisie,as marsa,2024,/alaeddine-gasmi/profil/spieler/942136,942136,6,janv.,1994
Amanallah Ben Hamida,Midfielder,"Dec 8, 2001 (23)",,,Tunisie,as marsa,2024,/amanallah-ben-hamida/marktwertverlauf/spieler/842862,842862,8,déc.,2001
Farouk Mimouni,Left Winger,"Jun 13, 2001 (23)",,"1,69m",Tunisie,as marsa,2024,/farouk-mimouni/profil/spieler/782597,782597,13,juin,2001
Adem Nguili,Central Midfield,"Jan 1, 2005 (20)",,,Tunisie,as marsa,2024,/adem-nguili/profil/spieler/1257701,1257701,1,janv.,2005
Mohamed Amine Tritar,Right Midfield,"Jun 24, 1995 (29)",,"1,84m",Tunisie,as marsa,2024,/mohamed-amine-tritar/profil/spieler/565869,565869,24,juin,1995
Amor Traidi,Right Midfield,"Oct 2, 2002 (22)",,,Tunisie,as marsa,2024,/amor-traidi/profil/spieler/1021429,1021429,2,oct.,2002
Achref Ghrissi,Left Midfield,"Aug 13, 2001 (23)",,,Tunisie,as marsa,2024,/achref-ghrissi/profil/spieler/1021430,1021430,13,août,2001
Mohamed Hedi Jertila,Right Winger,"May 29, 2003 (21)",,,Tunisie,as marsa,2024,/mohamed-hedi-jertila/marktwertverlauf/spieler/898078,898078,29,mai,2003
Yassine Zouari,Right Winger,"Sep 13, 2003 (21)",,"1,84m",Tunisie,as marsa,2024,/yassine-zouari/profil/spieler/1274279,1274279,13,sept.,2003
Bilel Khefifi,Right Winger,"Sep 2, 1992 (32)",,"1,80m",Tunisie,as marsa,2024,/bilel-khefifi/profil/spieler/335849,335849,2,sept.,1992
Mehdi Amira,Striker,"Mar 6, 2002 (22)",,,Tunisie,as marsa,2024,/mehdi-amira/profil/spieler/1024839,1024839,6,mars,2002
Bilel Touati,Centre-Forward,"Jan 11, 1994 (31)",,"1,85m",Tunisie,as marsa,2024,/bilel-touati/profil/spieler/571974,571974,11,janv.,1994
Mohamed Ben Ali,Right-Back,"Feb 16, 1995 (29)",,"1,75m",Tunisie,esperance tunis,2024,/mohamed-ben-ali/marktwertverlauf/spieler/290406,290406,16,févr.,1995
Houssem Eddine Ben Jouira,Defensive Midfield,"May 23, 1997 (27)",,,Tunisie,grombalia sports,2024,/houssem-eddine-ben-jouira/profil/spieler/648853,648853,23,mai,1997
Hamza Jelassi,Centre-Back,"Sep 29, 1991 (33)",,"1,89m",Tunisie,esperance tunis,2024,/hamza-jelassi/marktwertverlauf/spieler/244044,244044,29,sept.,1991
Koussay Smiri,Centre-Back,"Jul 17, 2004 (20)",,,Tunisie,esperance tunis,2024,/koussay-smiri/profil/spieler/1246844,1246844,17,juil.,2004
Yassine Meriah,Centre-Back,"Jul 2, 1993 (31)",,"1,88m",Tunisie,esperance tunis,2024,/yassine-meriah/marktwertverlauf/spieler/306330,306330,2,juil.,1993
Ghaith Zribi,Centre-Forward,"Jan 5, 1995 (30)",,"1,82m",Tunisie,association sportive de djerba,2024,/ghaith-zribi/profil/spieler/760683,760683,5,janv.,1995
Amine Farhat,Right Winger,"Jul 11, 1994 (30)",,,Tunisie,association sportive de djerba,2024,/amine-farhat/profil/spieler/334880,334880,11,juil.,1994
Mokhtar Ifaoui,Goalkeeper,"Mar 2, 2003 (21)",,"1,92m",Tunisie,esperance tunis,2024,/mokhtar-ifaoui/profil/spieler/1370391,1370391,2,mars,2003
Aymen Ben Ayoub,Goalkeeper,"Oct 22, 1984 (40)",,"1,86m",Tunisie,association sportive de djerba,2024,/aymen-ben-ayoub/profil/spieler/122950,122950,22,oct.,1984
Mounir Chouchane,Goalkeeper,"Jan 1, 1997 (28)",,,Tunisie,association sportive de djerba,2024,/mounir-chouchane/profil/spieler/750511,750511,1,janv.,1997
Said Chelbi,Defender,"Aug 2, 1993 (31)",,,Tunisie,association sportive de djerba,2024,/said-chelbi/profil/spieler/530191,530191,2,août,1993
Wassim Karoui,Goalkeeper,"Jan 7, 1997 (28)",,"1,86m",Tunisie,esperance tunis,2024,/wassim-karoui/marktwertverlauf/spieler/402696,402696,7,janv.,1997
Bechir Ben Said,Goalkeeper,"Nov 29, 1992 (32)",,"1,94m",Tunisie,esperance tunis,2024,/bechir-ben-said/marktwertverlauf/spieler/348144,348144,29,nov.,1992
Mohamed Sedki Debchi,Goalkeeper,"Oct 28, 1999 (25)",,"1,95m",Tunisie,esperance tunis,2024,/mohamed-sedki-debchi/marktwertverlauf/spieler/572190,572190,28,oct.,1999
Amanallah Memmiche,Goalkeeper,"Apr 20, 2004 (20)",,"1,91m",Tunisie,esperance tunis,2024,/amanallah-memmiche/marktwertverlauf/spieler/1063397,1063397,20,avr.,2004
Oussema Daghsen,Midfielder,"Nov 7, 1996 (28)",,,Tunisie,association sportive de djerba,2024,/oussema-daghsen/profil/spieler/750516,750516,7,nov.,1996
Mortadha Melliti,Defensive Midfield,"May 16, 1999 (25)",,,Tunisie,association sportive de djerba,2024,/mortadha-melliti/profil/spieler/662580,662580,16,mai,1999
Ezzeddine Ben Abid,Central Midfield,"Aug 27, 1988 (36)",,,Tunisie,association sportive de djerba,2024,/ezzeddine-ben-abid/profil/spieler/511863,511863,27,août,1988
Alaeddine Fahem,Attacking Midfield,"Apr 21, 1995 (29)",,,Tunisie,association sportive de djerba,2024,/alaeddine-fahem/profil/spieler/898899,898899,21,avr.,1995
Abdelhamid Challakhi,Attacking Midfield,"Jul 24, 1997 (27)",,,Tunisie,association sportive de djerba,2024,/abdelhamid-challakhi/profil/spieler/750512,750512,24,juil.,1997
Adem Mkaouer,Attacking Midfield,"Sep 13, 2000 (24)",,,Tunisie,association sportive de djerba,2024,/adem-mkaouer/profil/spieler/758516,758516,13,sept.,2000
Bilel Lahdhiri,Left Winger,"Sep 24, 1993 (31)",,,Tunisie,association sportive de djerba,2024,/bilel-lahdhiri/profil/spieler/329288,329288,24,sept.,1993
Ammar Ben Sassi,Left Winger,"Feb 19, 1990 (34)",,,Tunisie,association sportive de djerba,2024,/ammar-ben-sassi/profil/spieler/246847,246847,19,févr.,1990
Fethi Lahmar,Right Winger,"Mar 8, 1996 (28)",,,Tunisie,association sportive de djerba,2024,/fethi-lahmar/profil/spieler/530366,530366,8,mars,1996
Mohamed Moatez Landolsi,Midfielder,"Jun 16, 1992 (32)",,,Tunisie,association sportive de djerba,2024,/mohamed-moatez-landolsi/profil/spieler/463924,463924,16,juin,1992
Raed Bouchniba,Right-Back,"Sep 25, 2003 (21)",,"1,82m",Tunisie,esperance tunis,2024,/raed-bouchniba/marktwertverlauf/spieler/1008461,1008461,25,sept.,2003
Taher Naceur,Right-Back,"Aug 29, 1998 (26)",,,Tunisie,association sportive de djerba,2024,/taher-naceur/profil/spieler/649694,649694,29,août,1998
Ayman Ben Mohamed,Left-Back,"Dec 8, 1994 (30)",,"1,76m",Tunisie,esperance tunis,2024,/ayman-ben-mohamed/marktwertverlauf/spieler/249446,249446,8,déc.,1994
Mohamed Amine Ben Hamida,Left-Back,"Dec 15, 1995 (29)",,"1,81m",Tunisie,esperance tunis,2024,/mohamed-amine-ben-hamida/marktwertverlauf/spieler/454495,454495,15,déc.,1995
Houssem Jamil,Right-Back,"Apr 19, 1991 (33)",,,Tunisie,association sportive de djerba,2024,/houssem-jamil/profil/spieler/334882,334882,19,avr.,1991
Belgacem Ghedhioui,Right-Back,"Jun 14, 1991 (33)",,"1,69m",Tunisie,association sportive de djerba,2024,/belgacem-ghedhioui/profil/spieler/217095,217095,14,juin,1991
Adem Mkaouem,Left-Back,"Sep 13, 2000 (24)",,,Tunisie,association sportive de djerba,2024,/adem-mkaouem/profil/spieler/750514,750514,13,sept.,2000
Tallel Sraïeb,Left-Back,"Dec 17, 1992 (32)",,"1,88m",Tunisie,association sportive de djerba,2024,/tallel-sraieb/profil/spieler/259558,259558,17,déc.,1992
Fakher Chabbouh,Centre-Back,"Oct 12, 1996 (28)",,,Tunisie,association sportive de djerba,2024,/fakher-chabbouh/profil/spieler/752059,752059,12,oct.,1996
Majdi Msakni,Centre-Back,"Mar 1, 1995 (29)",,,Tunisie,association sportive de djerba,2024,/majdi-msakni/profil/spieler/558529,558529,1,mars,1995
Lamjed Gritli,Centre-Back,"Jan 1, 1991 (34)",,,Tunisie,association sportive de djerba,2024,/lamjed-gritli/profil/spieler/334881,334881,1,janv.,1991
Imed Mejbri,Centre-Back,"Sep 22, 1997 (27)",,,Tunisie,association sportive de djerba,2024,/imed-mejbri/profil/spieler/566074,566074,22,sept.,1997
Amenallah Frikhi,Striker,"Feb 12, 2004 (20)",,,Tunisie,esperance tunis,2023,/amenallah-frikhi/profil/spieler/1264546,1264546,12,févr.,2004
Iheb Trabelsi,Centre-Back,"Mar 16, 1999 (25)",,"1,83m",Tunisie,as marsa,2023,/iheb-trabelsi/marktwertverlauf/spieler/1024836,1024836,16,mars,1999
Wissam Bousnina,Centre-Back,"Apr 6, 1994 (30)",,"1,83m",Tunisie,as marsa,2023,/wissam-bousnina/marktwertverlauf/spieler/366432,366432,6,avr.,1994
Oussema Boufalgha,Goalkeeper,"Aug 1, 1998 (25)",,"1,91m",Tunisie,as marsa,2023,/oussema-boufalgha/marktwertverlauf/spieler/537134,537134,1,août,1998
Zied Jebali,Goalkeeper,"Jun 28, 1990 (34)",,"1,96m",Tunisie,as marsa,2023,/zied-jebali/marktwertverlauf/spieler/207095,207095,28,juin,1990
Alaeddine Derbali,Defender,"May 19, 2005 (19)",,,Tunisie,esperance tunis,2023,/alaeddine-derbali/profil/spieler/1264544,1264544,19,mai,2005
Mondher Guesmi,Defensive Midfield,"Jan 1, 1992 (32)",,"1,78m",Tunisie,as marsa,2023,/mondher-guesmi/marktwertverlauf/spieler/401849,401849,1,janv.,1992
Mootez Zaddem,Central Midfield,"Jan 5, 2001 (23)",,"1,85m",Tunisie,esperance tunis,2023,/mootez-zaddem/marktwertverlauf/spieler/750487,750487,5,janv.,2001
Oussema Bouguerra,Left Winger,"Oct 17, 1998 (25)",,"1,83m",Tunisie,esperance tunis,2023,/oussema-bouguerra/marktwertverlauf/spieler/479300,479300,17,oct.,1998
Ghaylen Chaalali,Central Midfield,"Feb 28, 1994 (30)",,"1,79m",Tunisie,esperance tunis,2023,/ghaylen-chaalali/marktwertverlauf/spieler/346776,346776,28,févr.,1994
Mohamed Mohieddine Aloui,Midfielder,"Jul 17, 2004 (19)",,,Tunisie,esperance tunis,2023,/mohamed-mohieddine-aloui/profil/spieler/1264547,1264547,17,juil.,2004
Hani Amamou,Centre-Back,"Sep 16, 1997 (26)",,"1,89m",Tunisie,esperance tunis,2023,/hani-amamou/marktwertverlauf/spieler/468681,468681,16,sept.,1997
Bilel Chabbar,Centre-Back,"Mar 31, 2000 (24)",,"1,85m",Tunisie,esperance tunis,2023,/bilel-chabbar/marktwertverlauf/spieler/841507,841507,31,mars,2000
Ghaith Ouahabi,Defensive Midfield,"May 2, 2003 (21)",,"1,89m",Tunisie,esperance tunis,2023,/ghaith-ouahabi/marktwertverlauf/spieler/1008453,1008453,2,mai,2003
Mohamed Ali Ben Hammouda,Centre-Forward,"Jul 24, 1998 (25)",,"1,90m",Tunisie,esperance tunis,2023,/mohamed-ali-ben-hammouda/marktwertverlauf/spieler/700169,700169,24,juil.,1998
Rafik Kamergi,Centre-Forward,"Jan 16, 1995 (29)",,"1,90m",Tunisie,as marsa,2023,/rafik-kamergi/marktwertverlauf/spieler/320501,320501,16,janv.,1995
Bahaeddine Brahmi,Right Winger,"Feb 28, 1993 (31)",,,Tunisie,as marsa,2023,/bahaeddine-brahmi/profil/spieler/402236,402236,28,févr.,1993
Omar Zekri,Right Winger,"Jan 22, 1995 (29)",,"1,70m",Tunisie,as marsa,2023,/omar-zekri/marktwertverlauf/spieler/350278,350278,22,janv.,1995
Houssem Gatfia,Attacking Midfield,"Mar 20, 1999 (25)",,"1,94m",Tunisie,as marsa,2023,/houssem-gatfia/marktwertverlauf/spieler/441082,441082,20,mars,1999
Alaeddine Gmach,Attacking Midfield,"Dec 16, 1995 (28)",,"1,84m",Tunisie,as marsa,2023,/alaeddine-gmach/marktwertverlauf/spieler/441679,441679,16,déc.,1995
Naim Fehri,Defender,"Jan 1, 1995 (29)",,,Tunisie,association sportive de djerba,2023,/naim-fehri/profil/spieler/348547,348547,1,janv.,1995
Mahrez Khouildi,Striker,"May 30, 2000 (24)",,,Tunisie,association sportive de djerba,2023,/mahrez-khouildi/profil/spieler/898058,898058,30,mai,2000
Bilel Mhamdi,Centre-Back,"Aug 5, 1998 (25)",,"1,85m",Tunisie,es beni khalled,2023,/bilel-mhamdi/profil/spieler/842995,842995,5,août,1998
Houssem Eddine Ben Rabeh,Centre-Forward,"May 15, 1994 (30)",,"1,78m",Tunisie,es beni khalled,2023,/houssem-eddine-ben-rabeh/profil/spieler/453837,453837,15,mai,1994
Mohamed Amine Falfoul,Centre-Forward,"Sep 24, 1990 (33)",,"1,92m",Tunisie,es beni khalled,2023,/mohamed-amine-falfoul/profil/spieler/358740,358740,24,sept.,1990
Najmeddine Ben Amara,Attacking Midfield,"Aug 25, 1994 (29)",,,Tunisie,es beni khalled,2023,/najmeddine-ben-amara/profil/spieler/223404,21355,25,août,1994
Mohamed Hassen Sdiri,Central Midfield,"Jan 8, 1994 (29)",,"1,9m",Tunisie,association sportive de djerba,2022,/mohamed-hassen-sdiri/profil/spieler/559005,559005,8,janv.,1994
Kais Aouichi,Left Winger,"May 6, 1999 (24)",,,Tunisie,association sportive de djerba,2022,/kais-aouichi/profil/spieler/844794,844794,6,mai,1999
Nabil Ben Said,Defensive Midfield,"Apr 28, 1982 (41)",,"1,86m",Tunisie,es beni khalled,2022,/nabil-ben-said/profil/spieler/358480,358480,28,avr.,1982
